id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,assist,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,keyPass,qualifier/9/value,qualifier/12/value,qualifier/14/value,qualifier/15/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/17/value,teamName,Position
2778710521,207,13,1,32,39,12ksg0e6d70senzilsic40fzl,1,77.2,55.2,5529096499,55,205,5529096503,102,39.3,5529096131,22,,5529096377,72,,5529096505,103,4.2,5529096513,230,95.8,5529096133,18,,5529119497,75,,jtmpumg28emowvrre2ujqtw5,Alberto Noguera,,5529096495,29,,5529096517,231,5529096135,56,Center,5529119499,215,,,,,,,,,,,,,,50,,,,,,,,,,Bengaluru FC,
2778710527,208,5,1,32,40,12ksg0e6d70senzilsic40fzl,0,100.8,42,5529096429,233,261,5529096155,56,Center,5529096157,346,,,,,,,,,,,,,,,,,jtmpumg28emowvrre2ujqtw5,Alberto Noguera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710573,261,5,1,32,40,7xo09xnh3y03lyai6azr77fo0,1,-0.8,58,5529096425,233,208,5529096421,56,Back,5529096423,346,,,,,,,,,,,,,,,,,dq2edinn9zcsx9ztdmkw33l61,Asheer Akhtar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710579,262,1,1,33,4,7xo09xnh3y03lyai6azr77fo0,1,4.9,59.3,5529096465,213,0.03,5529096471,74,,5529096457,56,Center,5529096467,1,,5529096455,124,,5529096605,189,,5529096461,141,63.1,5529096459,140,75.4,f1tuc3g6x0bvykbf3l6kckhnu,Gurmeet Singh,,5529096463,212,74.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,Goalkeeper
2778710581,263,3,1,33,8,7xo09xnh3y03lyai6azr77fo0,0,80.8,63.2,5529096475,286,,5529096565,233,209,5529096473,56,Center,,,,,,,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710595,209,7,1,33,8,12ksg0e6d70senzilsic40fzl,1,19.2,36.8,5529096555,233,263,5529096553,285,,5529096551,56,Back,,,,,,,,,,,,,,,,183r263z06eesonzbta557ys5,Rahul Bheke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,
2778710587,264,43,1,33,9,7xo09xnh3y03lyai6azr77fo0,1,0,0,5529096525,56,Center,5529097095,144,61,,,,,,,,,,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2778710603,210,52,1,33,15,12ksg0e6d70senzilsic40fzl,1,7.2,44.3,,,,,,,,,,,,,,,,,,,,,,,,,pf04royfgavano96z7n7x3v9,Lalthuammawia Ralte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,Goalkeeper
2778710613,211,80,1,33,21,12ksg0e6d70senzilsic40fzl,0,14.2,50.6,,,,,,,,,,,,,,,,,,,,,,,,,pf04royfgavano96z7n7x3v9,Lalthuammawia Ralte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,Goalkeeper
2778710627,212,1,1,33,23,12ksg0e6d70senzilsic40fzl,0,19.9,52.4,5529096747,213,0.41,5529096743,141,92.3,5529096737,155,,5529096741,140,78.8,5529096739,56,Left,5529096745,212,67.5,5529096749,1,,,,,pf04royfgavano96z7n7x3v9,Lalthuammawia Ralte,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,Goalkeeper
2778710631,265,12,1,33,26,7xo09xnh3y03lyai6azr77fo0,1,24.8,13.1,5529096769,56,Back,5529096777,213,4.27,5529096773,141,0,5529096771,140,20.3,5529096801,15,,5529096775,212,11.1,5529096783,167,,,,,27cg2gd6m8m4cw75j37dquxud,Redeem Tlang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
