id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value,qualifier/13/value,assist,teamName,Position
2778536721,135,1,1,16,8,335mseh7gazfrf4eu6w9htw6i,1,68.7,61.1,5528093081,140,76.4,5528093079,56,Center,5528093087,213,5.92,5528093083,141,56.6,5528093085,212,8.6,,,,,,,,,,akimhgnr5qxmokkeq1c3k8p2h,Mohammed Irshad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536719,151,83,1,16,11,ajwqetklk0m22x7ifsjax5yi,0,31.9,66.7,5528093103,399,e6r1r5ggsgbdnudnn5muc4mw9,,,,,,,,,,,,,,,,,,,,,,9vjotu14gqx0jhgrs12qwkezt,Stephen Eze,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536723,136,1,1,16,12,335mseh7gazfrf4eu6w9htw6i,1,74.6,49.6,5528093099,213,3.72,5528093097,212,17.9,5528093095,141,35.2,5528093093,140,60.3,5528093091,56,Center,,,,,,,,,,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536733,137,1,1,16,15,335mseh7gazfrf4eu6w9htw6i,1,62,12.5,5528093149,213,0.6,5528093147,212,17.7,5528093143,140,75.9,5528093145,141,27.1,5528093141,56,Center,,,,,,,,,,f3gutlzxtzt5bxtrjdgb0inai,Joe Zoherliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536737,138,3,1,16,18,335mseh7gazfrf4eu6w9htw6i,0,84.8,17.5,5528093161,233,152,5528093153,56,Right,5528093155,286,,,,,,,,,,,,,,,,,evsrix4aokl5o7dlx9zc41h49,França,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536731,152,7,1,16,18,ajwqetklk0m22x7ifsjax5yi,1,15.2,82.5,5528093139,285,,5528093137,56,Back,5528093157,233,138,5528093135,167,,,,,,,,,,,,,,a1rjrfrukdqfztu8c9l88wduc,Muhammed Uvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536739,139,6,1,16,19,335mseh7gazfrf4eu6w9htw6i,1,84.8,17.5,5528093201,233,153,5528093199,75,,5528093197,56,Right,,,,,,,,,,,,,,,,evsrix4aokl5o7dlx9zc41h49,França,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536735,153,6,1,16,19,ajwqetklk0m22x7ifsjax5yi,0,15.2,82.5,5528093169,56,Back,5528093209,233,139,5528093171,73,,,,,,,,,,,,,,,,,a1rjrfrukdqfztu8c9l88wduc,Muhammed Uvais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
2778536749,141,1,1,16,43,335mseh7gazfrf4eu6w9htw6i,0,99.3,0.7,5528093285,1,,5528093283,213,1.92,5528093271,155,,5528093269,6,,5528093267,2,,5528093281,212,35.6,5528093277,140,87.7,5528093279,141,49.9,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,5528093273,224,,5528093275,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2778536751,154,12,1,16,46,ajwqetklk0m22x7ifsjax5yi,1,14.7,45.4,5528093299,213,1.22,5528093297,212,24.3,5528093293,140,22.6,5528093291,56,Back,5528093295,141,79,,,,,,,,,,14w76iqim5kly2adzwc9n6wgl,Pratik Chaudhari,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC, 
