id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,assist,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/13/value,teamName,Position
2780937405,476,1,2,51,37,12ksg0e6d70senzilsic40fzl,1,3.9,52.5,5541147707,74,,5541147701,213,6.28,5541147693,56,Center,5541147703,1,,5541147691,124,,5541147699,212,64.3,5541147697,141,52.1,5541147695,140,65.1,et5ztuwgv6uaiste9nxba9h3p,Gurpreet Singh Sandhu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC,Goalkeeper
2780937409,477,44,2,51,40,12ksg0e6d70senzilsic40fzl,1,65.7,55.1,5541147723,286,,5541147737,233,393,5541147721,56,Center,,,,,,,,,,,,,,,,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937403,393,44,2,51,40,1kqb5u8em0tj1k40607w2vtl4,0,34.3,44.9,5541147747,233,477,5541147673,285,,5541147671,56,Back,,,,,,,,,,,,,,,,ajkkf12dn8livsb196zp7w0d1,Elsinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937413,478,1,2,51,41,12ksg0e6d70senzilsic40fzl,0,65.1,52.1,5541147753,168,,5541147759,141,56.7,5541147757,140,73.1,5541147755,56,Center,5541147763,213,0.36,5541147751,3,,5541147761,212,9,,,,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937449,395,61,2,51,42,1kqb5u8em0tj1k40607w2vtl4,1,33.4,29.3,5541147975,56,Back,,,,,,,,,,,,,,,,,,,,,,ajkkf12dn8livsb196zp7w0d1,Elsinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937421,479,4,2,51,45,12ksg0e6d70senzilsic40fzl,1,70.4,62.1,5541147803,286,,5541147801,152,,5541147809,233,394,5541147795,13,,5541147799,56,Center,5541147957,265,,,,,,,,deyx0zxr2303hh3cru8l88u1g,Sivasakthi Narayanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937419,394,4,2,51,45,1kqb5u8em0tj1k40607w2vtl4,0,29.6,37.9,5541147781,285,,5541147775,56,Back,5541147777,152,,5541147779,265,,5541147773,13,,5541147815,233,479,,,,,,,evpkruwe8cis1pfkujwfwr9hx,Pritam Kotal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937487,480,15,2,52,28,12ksg0e6d70senzilsic40fzl,1,74.6,62.8,5541148327,82,,5541148435,458,,5541148209,18,,5541148445,233,396,5541148437,146,81.6,5541148211,56,Center,5541148323,20,,5541148443,231,51.1,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,5541148433,103,19,5541148429,78,,5541148441,230,5541148431,102,5541148207,26,,,98.2,50.5,5541148439,147,,,,,,,,,,,59.4,Bengaluru FC, 
2780937489,396,10,2,52,29,1kqb5u8em0tj1k40607w2vtl4,1,15.3,41.7,5541148225,56,Back,5541148449,233,480,5541148343,239,,5541148313,94,,,,,,,,,,,,,,83rpxksxq3qq7vxslur4ge5sl,Wilmar Jordán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937493,397,6,2,52,31,1kqb5u8em0tj1k40607w2vtl4,0,24.2,36.2,5541148227,56,Back,5541148229,73,,5541148259,233,481,,,,,,,,,,,,,,,,83rpxksxq3qq7vxslur4ge5sl,Wilmar Jordán,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937491,481,6,2,52,31,12ksg0e6d70senzilsic40fzl,1,75.8,63.8,5541148247,56,Center,5541148249,73,,5541148251,233,397,,,,,,,,,,,,,,,,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937525,482,1,2,52,58,12ksg0e6d70senzilsic40fzl,0,99.5,99.5,5541148541,213,4.43,5541148527,6,,5541148529,155,,5541148531,224,,5541148525,2,,5541148535,140,92.1,5541148539,212,27.8,5541148537,141,60.2,jtmpumg28emowvrre2ujqtw5,Alberto Noguera,5541148533,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937537,398,12,2,53,1,1kqb5u8em0tj1k40607w2vtl4,1,9.9,32.9,5541148575,141,40.3,5541148579,213,0.39,5541148573,140,21.6,5541148577,212,13.3,5541148571,56,Back,,,,,,,,,,bepdz3gbb2rxeuae2lt159g16,Vignesh Dakshinamurthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937539,399,4,2,53,5,1kqb5u8em0tj1k40607w2vtl4,1,19.2,45.5,5541148591,265,,5541148585,13,,5541148589,152,,5541148587,56,Back,5541148593,285,,5541148789,233,483,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937557,483,4,2,53,5,12ksg0e6d70senzilsic40fzl,0,80.8,54.5,5541148723,13,,5541148729,265,,5541148727,152,,5541148725,56,Center,5541148807,233,399,5541148731,286,,,,,,,,duxnzil70n1147w8ob8ooxo89,Chinglensana Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937575,400,1,2,53,45,1kqb5u8em0tj1k40607w2vtl4,1,19.2,50.7,5541148905,157,,5541148911,140,93.3,5541148907,152,,5541148909,56,Left,5541148919,1,,5541148917,213,0.31,5541148915,212,81.8,5541148903,5,,a9gquocdgtb8bpk99a5a110mi,Mohammad Nawaz,5541148913,141,87.9,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,Goalkeeper
2780937577,401,61,2,53,53,1kqb5u8em0tj1k40607w2vtl4,0,95.9,90.2,5541148923,56,Left,,,,,,,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937579,484,49,2,53,55,12ksg0e6d70senzilsic40fzl,1,11.7,12.2,,,,,,,,,,,,,,,,,,,,,,,,,7vwq6tjwae82epsh6kll9phm2,Namgyal Bhutia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937581,485,1,2,53,56,12ksg0e6d70senzilsic40fzl,1,18.2,10.4,5541148935,140,15.7,5541148937,141,27.9,5541148939,212,12.2,5541148933,56,Back,5541148941,213,1.79,,,,,,,,,,7vwq6tjwae82epsh6kll9phm2,Namgyal Bhutia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937585,486,1,2,53,57,12ksg0e6d70senzilsic40fzl,1,15.7,27.9,5541148969,212,20,5541148967,141,8.3,5541148963,56,Back,5541148965,140,29.9,5541148971,213,5.55,,,,,,,,,,3sy4rxdzl4u9e5kkvygxu9x7u,Roshan Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937589,487,1,2,53,59,12ksg0e6d70senzilsic40fzl,1,29.6,9.5,5541148983,213,0.05,5541148979,141,10.9,5541148977,140,47.7,5541148981,212,19,5541148975,56,Back,,,,,,,,,,cufgsqfkltgeb7ak2uan2dqdx,Ryan Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937593,488,3,2,54,1,12ksg0e6d70senzilsic40fzl,0,45.6,8.8,5541148999,56,Back,5541149001,286,,5541149093,233,402,,,,,,,,,,,,,,,,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937599,402,7,2,54,1,1kqb5u8em0tj1k40607w2vtl4,1,54.4,91.2,5541149089,233,488,5541149017,167,,5541149019,56,Left,5541149021,285,,,,,,,,,,,,,,9o2dyl3cbm2ni3874doydh49h,Ryan Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937605,403,5,2,54,2,1kqb5u8em0tj1k40607w2vtl4,0,61.8,101.6,5541149057,347,,5541149055,56,Left,5541149079,233,489,,,,,,,,,,,,,,,,9o2dyl3cbm2ni3874doydh49h,Ryan Edwards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937609,489,5,2,54,2,12ksg0e6d70senzilsic40fzl,1,38.2,-1.6,5541149071,56,Back,5541149075,233,403,5541149073,347,,,,,,,,,,,,,,,,,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937613,490,1,2,54,17,12ksg0e6d70senzilsic40fzl,1,35,0,5541149125,141,11.4,5541149127,212,11.3,5541149129,213,2.21,5541149119,107,,5541149121,56,Back,5541149123,140,28.6,,,,,,,3sy4rxdzl4u9e5kkvygxu9x7u,Roshan Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937617,491,1,2,54,19,12ksg0e6d70senzilsic40fzl,1,28.6,11.4,5541149149,141,7.4,5541149147,140,32.7,5541149153,213,5.72,5541149145,56,Back,5541149151,212,5.1,,,,,,,,,,de6woepvuggpm1z2cwz1nbmne,Suresh Singh Wangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937619,492,1,2,54,21,12ksg0e6d70senzilsic40fzl,1,32.7,7.4,5541149199,213,2.07,5541149197,212,3.3,5541149193,140,31.2,5541149195,141,11.6,5541149191,56,Back,,,,,,,,,,3sy4rxdzl4u9e5kkvygxu9x7u,Roshan Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937621,493,1,2,54,22,12ksg0e6d70senzilsic40fzl,1,31.2,11.6,5541149227,1,,5541149225,213,1.27,5541149219,140,45.4,5541149217,56,Back,5541149221,141,82.3,5541149215,196,,5541149223,212,50.3,5541149213,155,,de6woepvuggpm1z2cwz1nbmne,Suresh Singh Wangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937627,494,1,2,54,25,12ksg0e6d70senzilsic40fzl,1,60.2,81.5,5541149263,140,86.5,5541149265,141,29.1,5541149271,1,,5541149259,155,,5541149267,212,45.1,5541149269,213,5.37,5541149261,56,Center,,,,3sy4rxdzl4u9e5kkvygxu9x7u,Roshan Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937633,495,1,2,54,28,12ksg0e6d70senzilsic40fzl,1,86.5,29.1,5541149305,56,Center,5541149311,212,32.3,5541149309,141,73.9,5541149307,140,96.6,5541149315,1,,5541149313,213,1.24,,,,,,,7wpltjujzubkwy1k57jzcwafp,Édgar Méndez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937635,496,1,2,54,33,12ksg0e6d70senzilsic40fzl,1,97.8,72.4,5541149331,141,83.6,5541149327,56,Left,5541149329,140,73.5,5541149335,213,2.85,5541149333,212,26.6,,,,,,,,,,cufgsqfkltgeb7ak2uan2dqdx,Ryan Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937645,497,1,2,54,35,12ksg0e6d70senzilsic40fzl,1,75.4,82.1,5541149401,213,0.38,5541149399,212,13.2,5541149397,141,89.3,5541149395,140,87.1,5541149393,56,Left,,,,,,,,,,3sy4rxdzl4u9e5kkvygxu9x7u,Roshan Singh Naorem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937653,498,1,2,54,42,12ksg0e6d70senzilsic40fzl,1,83.6,88.6,5541149453,141,66.1,5541149449,56,Center,5541149451,140,77.4,5541149457,213,4.31,5541149455,212,16.6,,,,,,,,,,cufgsqfkltgeb7ak2uan2dqdx,Ryan Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937655,499,1,2,54,44,12ksg0e6d70senzilsic40fzl,1,79.4,69.6,5541149473,213,2.54,5541149471,212,19.9,5541149465,56,Left,5541149469,141,86.2,5541149467,140,63.8,,,,,,,,,,deyx0zxr2303hh3cru8l88u1g,Sivasakthi Narayanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937665,500,1,2,54,46,12ksg0e6d70senzilsic40fzl,1,63.8,86.3,5541149539,213,6.11,5541149533,140,75.7,5541149537,212,12.7,5541149535,141,83,5541149531,56,Left,,,,,,,,,,jtmpumg28emowvrre2ujqtw5,Alberto Noguera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937671,501,1,2,54,50,12ksg0e6d70senzilsic40fzl,1,73.8,75.6,5541149573,141,87.2,5541149569,56,Left,5541149571,140,87.8,5541149575,212,16.7,5541149577,213,0.49,,,,,,,,,,deyx0zxr2303hh3cru8l88u1g,Sivasakthi Narayanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937675,502,1,2,54,53,12ksg0e6d70senzilsic40fzl,0,96.6,76.1,5541149585,155,,5541149591,141,56.4,5541149589,140,91.5,5541149583,2,,5541149587,56,Center,5541149595,213,4.33,5541149593,212,14.4,,,,cufgsqfkltgeb7ak2uan2dqdx,Ryan Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937673,404,8,2,54,54,1kqb5u8em0tj1k40607w2vtl4,1,5.3,34.7,5541149617,14,,5541149581,56,Back,,,,,,,,,,,,,,,,,,,ajkkf12dn8livsb196zp7w0d1,Elsinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937677,405,6,2,54,55,1kqb5u8em0tj1k40607w2vtl4,0,0,27.4,5541149597,56,Back,5541149599,73,,5541149633,233,503,,,,,,,,,,,,,,,,ajkkf12dn8livsb196zp7w0d1,Elsinho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC, 
2780937679,503,6,2,54,55,12ksg0e6d70senzilsic40fzl,1,100,72.6,5541149623,233,405,5541149619,56,Center,5541149621,73,,,,,,,,,,,,,,,,,cufgsqfkltgeb7ak2uan2dqdx,Ryan Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
2780937725,504,18,2,55,34,12ksg0e6d70senzilsic40fzl,1,0,0,5541149945,44,Forward,5541149967,55,505,5541149943,42,,5541149947,59,9,,,,,,,,,,,,,deyx0zxr2303hh3cru8l88u1g,Sivasakthi Narayanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Bengaluru FC, 
