id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/8/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/12/value,assist,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,teamName,Position
2777231439,161,13,1,19,26,28au628w8n2jhgujuwh3y5d8k,1,72.3,42.5,5520854467,29,,5520852217,56,Center,5520854479,230,98.4,5520852213,22,,5520854475,103,6.9,5520852623,20,,5520854481,231,48.7,5520854465,83,,5brj4wwxu99bicq7xhzs6zvmx,Nishu Kumar,,5520854469,55,5520852215,18,,5520854473,102,56.8,5520854477,215,,,,160,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777231509,162,5,1,19,28,28au628w8n2jhgujuwh3y5d8k,0,101.3,57.7,5520852593,56,Center,5520852595,346,,5520854873,233,162,,,,,,,,,,,,,,,,5brj4wwxu99bicq7xhzs6zvmx,Nishu Kumar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
2777231913,162,5,1,19,28,335mseh7gazfrf4eu6w9htw6i,1,-1.3,42.3,5520854843,233,162,5520854767,346,,5520854765,56,Back,,,,,,,,,,,,,,,,evsrix4aokl5o7dlx9zc41h49,França,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777235659,189,1,1,19,55,335mseh7gazfrf4eu6w9htw6i,1,5.1,49.6,5520876051,237,,5520875503,189,,5520876049,124,,5520875331,1,,5520875321,141,7,5520875319,140,23.6,5520875317,56,Back,5520875329,213,5.3,36coytybrizxbjsnpc0y4ojro,Padam Chettri,,5520875325,212,,,,,,,,,,,,34.9,,,,,,,,,,,,,,,,,,Mohammedan SC,Goalkeeper
2777236189,190,1,1,20,2,335mseh7gazfrf4eu6w9htw6i,1,28,7,5520878477,155,,5520878479,56,Right,5520878485,212,44.2,5520878489,1,,5520878487,213,0.2,5520878481,140,69.3,5520878483,141,19.7,,,,6fuk4mojob40kspt4k6vntbhm,Gaurav Bora,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777232259,164,1,1,20,4,335mseh7gazfrf4eu6w9htw6i,1,63.1,16.3,5520856695,140,54,5520856707,213,3.84,5520856699,141,4.6,5520856703,212,12.4,5520856693,56,Right,,,,,,,,,,cnea18p2z4830dwkn0kcp9pii,Manvir Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777232329,165,1,1,20,5,335mseh7gazfrf4eu6w9htw6i,1,54,4.6,5520857043,141,26.5,5520857049,213,1.57,5520857041,140,54,5520857039,56,Center,5520857045,212,14.9,,,,,,,,,,evsrix4aokl5o7dlx9zc41h49,França,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777232375,166,1,1,20,8,335mseh7gazfrf4eu6w9htw6i,1,59.3,33.8,5520857299,212,13.7,5520857301,213,1.42,5520857297,141,53.7,5520857295,140,61.2,5520857293,56,Center,,,,,,,,,,f3gutlzxtzt5bxtrjdgb0inai,Joe Zoherliana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777232399,167,1,1,20,10,335mseh7gazfrf4eu6w9htw6i,0,62.2,55.5,5520857403,141,69,5520857407,213,0.54,5520857401,140,76.9,5520857397,155,,5520857405,212,18,5520857399,56,Center,,,,,,,e6r1r5ggsgbdnudnn5muc4mw9,Alexis Gómez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mohammedan SC, 
2777232451,164,1,1,20,12,28au628w8n2jhgujuwh3y5d8k,0,24.1,30.6,5520857671,213,5.31,5520857663,56,Back,5520857665,140,32.1,5520857669,212,14.9,5520857667,141,12.5,5520857661,3,,,,,,,,369ef7pxl6ckbg088w9zi36ne,Mohammad Rakip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC, 
