id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,keyPass,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/10/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/11/value,qualifier/14/value,assist,qualifier/15/id,qualifier/15/qualifierId,,qualifier/15/value,teamName,Position
2776246507,352,43,2,49,8,1kqb5u8em0tj1k40607w2vtl4,1,0,0,5515870789,144,44,5515632237,285,0,5515632235,56,Back,,,,,,,,,,,,,,,,bepdz3gbb2rxeuae2lt159g16,Vignesh Dakshinamurthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776246547,353,1,2,49,8,1kqb5u8em0tj1k40607w2vtl4,1,11.5,88.1,5515632403,213,5.78,5515632393,3,,5515632397,140,18,5515632399,141,82.6,5515632395,56,Back,5515632401,212,7.8,,,,,,,bepdz3gbb2rxeuae2lt159g16,Vignesh Dakshinamurthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776246561,354,1,2,49,11,1kqb5u8em0tj1k40607w2vtl4,0,22.2,88,5515632463,56,Back,5515632465,140,39.8,5515632469,212,20.8,5515632471,213,0.48,5515632467,141,100,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776246563,355,5,2,49,12,1kqb5u8em0tj1k40607w2vtl4,0,42.8,101.8,5515632475,347,,5515632473,56,Back,5515668705,233,415,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776246745,415,5,2,49,12,8uacz8yrceknwsreon4rb5i8o,1,57.2,-1.8,5515668689,233,355,5515633457,347,,5515633455,56,Right,,,,,,,,,,,,,,,,2n6c8ciuley3hz0fnt6gn4zpx,Luka Majcen,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776246771,356,1,2,49,25,1kqb5u8em0tj1k40607w2vtl4,0,18.3,94.1,5515633589,140,36.7,5515633585,157,,5515633587,56,Back,5515633593,212,20,5515633591,141,100,5515633595,213,0.26,5515633597,1,,,,,bepdz3gbb2rxeuae2lt159g16,Vignesh Dakshinamurthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776246767,416,1,2,49,25,8uacz8yrceknwsreon4rb5i8o,0,52,0,5515633563,140,73.1,5515633559,107,,5515633565,141,8.5,5515633561,56,Right,5515633569,213,0.29,5515633571,1,,5515633567,212,23.2,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776246773,357,5,2,49,26,1kqb5u8em0tj1k40607w2vtl4,0,38.8,101.8,5515634083,233,417,5515633603,347,,5515633601,56,Back,,,,,,,,,,,,,,,,bepdz3gbb2rxeuae2lt159g16,Vignesh Dakshinamurthy,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776246855,417,5,2,49,26,8uacz8yrceknwsreon4rb5i8o,1,61.2,-1.8,5515634059,233,357,5515634037,347,,5515634035,56,Right,,,,,,,,,,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776246907,418,1,2,49,32,8uacz8yrceknwsreon4rb5i8o,0,57.7,0,5515634299,107,,5515634303,140,81.5,5515634305,141,5.2,5515634301,56,Right,5515634309,213,0.19,5515634311,1,,5515634307,212,25.5,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776246881,358,8,2,49,34,1kqb5u8em0tj1k40607w2vtl4,1,17.4,96,5515634169,56,Back,,,,,,,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776246967,359,5,2,49,36,1kqb5u8em0tj1k40607w2vtl4,0,15.9,101.7,5515634611,347,,5515634609,56,Back,5515635607,233,419,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776247131,419,5,2,49,36,8uacz8yrceknwsreon4rb5i8o,1,84.1,-1.7,5515635513,347,,5515635577,233,359,5515635511,56,Right,,,,,,,,,,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776247175,420,1,2,49,49,8uacz8yrceknwsreon4rb5i8o,1,84.3,0,5515635773,212,7.9,5515635763,56,Right,5515635761,107,,5515635771,141,4.7,5515635767,140,90.4,5515635775,213,0.62,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776247213,421,1,2,49,52,8uacz8yrceknwsreon4rb5i8o,1,91.7,5.5,5515635997,212,9.2,5515635991,56,Right,5515635999,213,3.03,5515635995,141,7,5515635993,140,83,,,,,,,,,,fekzw1l7xz97js7ns7ag2mfo,Muhammad Suhail,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776247231,422,1,2,49,55,8uacz8yrceknwsreon4rb5i8o,0,83,7,5515636107,213,1.09,5515636109,1,,5515636101,140,100,5515636105,212,41.7,5515636103,141,61.4,5515636097,155,,5515636095,2,,5515636099,56,Center,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776247389,360,5,2,49,55,1kqb5u8em0tj1k40607w2vtl4,1,-1.2,39.8,5515636955,56,Back,5515636957,346,,5515636993,233,423,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776247371,423,5,2,49,55,8uacz8yrceknwsreon4rb5i8o,0,101.2,60.2,5515636889,56,Center,5515637013,233,360,5515636891,346,,,,,,,,,,,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776247683,361,1,2,50,24,1kqb5u8em0tj1k40607w2vtl4,1,5.1,54,5515638575,213,0.01,5515638567,56,Center,5515638571,141,55.1,5515638565,124,,5515638569,140,58.8,5515638577,1,,5515638573,212,56.4,5515638581,74,,a9gquocdgtb8bpk99a5a110mi,Mohammad Nawaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,Goalkeeper
2776247703,362,44,2,50,28,1kqb5u8em0tj1k40607w2vtl4,1,67,60.5,5515638689,233,425,5515638679,286,,5515638677,56,Center,,,,,,,,,,,,,,,,83rpxksxq3qq7vxslur4ge5sl,Wilmar Jordán,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776247691,425,44,2,50,28,8uacz8yrceknwsreon4rb5i8o,0,35.7,41.3,5515638613,285,,5515638611,56,Back,5515638719,233,362,,,,,,,,,,,,,,,,5ku3ut12bd65rq9qoobyv2jh0,Melroy Assisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776247727,363,1,2,50,29,1kqb5u8em0tj1k40607w2vtl4,0,59.2,55.7,5515638827,56,Left,5515638837,213,0.62,5515638835,212,32.2,5515638831,140,84.1,5515638839,1,,5515638833,141,83.3,5515638823,168,,5515638819,3,,83rpxksxq3qq7vxslur4ge5sl,Wilmar Jordán,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776247767,364,50,2,50,33,1kqb5u8em0tj1k40607w2vtl4,1,84.4,93.8,5515639091,286,,5515639149,233,426,5515639087,56,Left,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776247771,426,7,2,50,33,8uacz8yrceknwsreon4rb5i8o,1,15.6,6.2,5515639105,56,Back,5515639139,233,364,5515639107,285,,5515639103,167,,,,,,,,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776247809,365,5,2,50,34,1kqb5u8em0tj1k40607w2vtl4,1,85.7,101.5,5515639409,233,427,5515639319,347,,5515639317,56,Left,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776247815,427,5,2,50,34,8uacz8yrceknwsreon4rb5i8o,0,14.3,-1.5,5515639447,233,365,5515639359,56,Back,5515639361,347,,,,,,,,,,,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776247819,366,1,2,50,36,1kqb5u8em0tj1k40607w2vtl4,1,79.7,100,5515639391,212,8.5,5515639383,107,,5515639385,56,Left,5515639389,141,89.6,5515639393,213,4.25,5515639387,140,76.1,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776247891,367,1,2,50,37,1kqb5u8em0tj1k40607w2vtl4,1,76.1,89.6,5515639733,212,11.4,5515639729,140,86.6,5515639727,56,Left,5515639735,213,0.27,5515639731,141,94.1,,,,,,,,,,dkk86y8pa3svtz43c0m55qn6x,Connor Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776247895,368,3,2,50,42,1kqb5u8em0tj1k40607w2vtl4,0,96,91.4,5515639769,56,Left,5515639771,286,,5515639885,233,428,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776247899,428,7,2,50,42,8uacz8yrceknwsreon4rb5i8o,1,4,8.6,5515639775,56,Back,5515639777,285,,5515639847,233,368,5515639773,167,,,,,,,,,,,,,,1csytueiqmph9zm2p58ww333e,Ricky Shabong,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776247923,369,6,2,50,43,1kqb5u8em0tj1k40607w2vtl4,1,97,91.5,5515639907,73,,5515639905,56,Left,5515640083,233,429,,,,,,,,,,,,,,,,3macevv6d8kk7a3na4b3zh2j8,Irfan Yadwad,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776247909,429,6,2,50,43,8uacz8yrceknwsreon4rb5i8o,0,3,8.5,5515640039,56,Back,5515640127,233,369,5515640041,73,,,,,,,,,,,,,,,,,1csytueiqmph9zm2p58ww333e,Ricky Shabong,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2776248331,370,1,2,51,7,1kqb5u8em0tj1k40607w2vtl4,0,99.5,99.5,5515642127,212,50.7,5515642113,2,,5515642125,141,25,5515642129,213,4.75,5515642121,56,Center,5515642131,1,,5515642115,6,,5515642123,140,100,dkk86y8pa3svtz43c0m55qn6x,Connor Shields,5515642119,223,,,5515642117,155,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776248533,371,5,2,51,10,1kqb5u8em0tj1k40607w2vtl4,0,101,26.2,5515643217,233,430,5515643145,346,,5515643143,56,Center,,,,,,,,,,,,,,,,dkk86y8pa3svtz43c0m55qn6x,Connor Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2776248541,430,5,2,51,10,8uacz8yrceknwsreon4rb5i8o,1,-1,73.8,5515643171,56,Back,5515643179,233,371,5515643173,346,,,,,,,,,,,,,,,,,1csytueiqmph9zm2p58ww333e,Ricky Shabong,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
