id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/11/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/13/value,qualifier/9/value,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,assist,teamName,Position
2779156415,572,6,2,64,35,8uacz8yrceknwsreon4rb5i8o,1,98.6,72.6,5531524239,56,Center,5531524241,73,,5531527265,233,477,,,,,,,,,,,,,,,,d0b9bmoy2tfpyra3bra95rdhw,Likmabam Rakesh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779156625,573,1,2,64,55,8uacz8yrceknwsreon4rb5i8o,1,99.5,99.5,5531525371,2,,5531525373,6,,5531525385,212,71.7,5531525389,1,,5531525387,213,4.28,5531525383,141,4,5531525381,140,70.6,5531525379,56,Right,bwiqj25qbrcc2xhc8faqb44wl,Ezequiel Vidal,5531525377,224,,5531525375,155,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779156655,574,1,2,65,2,8uacz8yrceknwsreon4rb5i8o,0,74.1,4.6,5531525543,212,43,5531525541,141,65.1,5531525533,2,,5531525535,155,,5531525539,140,86.1,5531525537,56,Center,5531525545,213,1.27,5531525547,1,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779156675,471,12,2,65,5,28au628w8n2jhgujuwh3y5d8k,1,15.6,29.8,5531525645,141,0,5531525649,213,4.95,5531525647,212,21.6,5531525683,167,,5531525641,56,Back,5531525657,15,,5531525643,140,20.5,,,,369ef7pxl6ckbg088w9zi36ne,Mohammad Rakip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779156679,472,5,2,65,6,28au628w8n2jhgujuwh3y5d8k,0,20.6,-1.4,5531525853,233,575,5531525665,347,,5531525663,56,Back,,,,,,,,,,,,,,,,369ef7pxl6ckbg088w9zi36ne,Mohammad Rakip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779156695,575,5,2,65,6,8uacz8yrceknwsreon4rb5i8o,1,79.4,101.4,5531525777,347,,5531525775,56,Left,5531525849,233,472,,,,,,,,,,,,,,,,1i4qgopfzsr2xyfs93kjtcvai,Khaiminthang Lhungdim,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779156727,576,1,2,65,10,8uacz8yrceknwsreon4rb5i8o,1,78.1,100,5531525973,212,13.9,5531525965,107,,5531525967,56,Left,5531525969,140,69,5531525971,141,86.9,5531525975,213,3.95,,,,,,,bwiqj25qbrcc2xhc8faqb44wl,Ezequiel Vidal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779156737,577,1,2,65,14,8uacz8yrceknwsreon4rb5i8o,0,65.4,85.9,5531526191,286,,5531526029,141,82,5531526027,140,67.6,5531526025,56,Left,5531526023,155,,5531526187,233,475,5531526185,236,,5531526033,213,5.43,1csytueiqmph9zm2p58ww333e,Ricky Shabong,5531526031,212,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2779156761,475,74,2,65,14,28au628w8n2jhgujuwh3y5d8k,1,40,7.9,5531526141,56,Back,5531526145,285,,5531526205,233,577,,,,,,,,,,,,,,,,8bz6754ot1g7gd2k90qfqnuy2,Raphael Messi Bouli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,East Bengal FC,
2779156787,578,1,2,65,17,8uacz8yrceknwsreon4rb5i8o,1,59.2,95.6,5531526305,141,82.1,5531526301,56,Left,5531526307,212,10.2,5531526309,213,5.16,5531526303,140,63.4,,,,,,,,,,ciydd242v6efvzsqd2hxqvwus,Pramveer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
