id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,assist,qualifier/16/value,teamName,Position
2781503957,909,1,2,86,46,9eqjks8amwm1ycytsoi7xld25,1,69,20.3,5544317543,213,5.32,5544317539,141,8.6,5544317535,56,Right,5544317537,140,74.3,5544317541,212,9.7,,,,,,,,,,57fizz3ad5m2w0qz8v6xeazmd,Dejan Dražić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781503965,910,1,2,86,49,9eqjks8amwm1ycytsoi7xld25,1,74.5,6.2,5544317577,56,Right,5544317583,212,7.5,5544317579,140,67.4,5544317581,141,6.1,5544317585,213,3.15,,,,,,,,,,d5adi48nrkr3n0dqoitcdzu95,Kumam Udanta Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781503975,911,1,2,86,50,9eqjks8amwm1ycytsoi7xld25,1,67.4,6.1,5544317643,141,19.1,5544317647,213,1.26,5544317641,140,70.1,5544317645,212,9.3,5544317639,56,Right,,,,,,,,,,8aa6rgjs6vqeqnt8f5dsu9l2h,Seriton Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781503985,912,1,2,86,52,9eqjks8amwm1ycytsoi7xld25,1,67.8,19.8,5544317681,141,15.9,5544317685,213,4.63,5544317683,212,2.7,5544317679,140,67.6,5544317677,56,Right,,,,,,,,,,57fizz3ad5m2w0qz8v6xeazmd,Dejan Dražić,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781503989,913,61,2,86,53,9eqjks8amwm1ycytsoi7xld25,0,67.6,15.9,5544317699,56,Right,,,,,,,,,,,,,,,,,,,,,,8aa6rgjs6vqeqnt8f5dsu9l2h,Seriton Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781503993,914,83,2,86,54,9eqjks8amwm1ycytsoi7xld25,0,67.6,15.9,5544317749,399,8js8a2yz6jly94vf0ilyg76s4,,,,,,,,,,,,,,,,,,,,,,8aa6rgjs6vqeqnt8f5dsu9l2h,Seriton Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781504001,679,49,2,86,55,8uacz8yrceknwsreon4rb5i8o,1,22.2,84.5,,,,,,,,,,,,,,,,,,,,,,,,,8js8a2yz6jly94vf0ilyg76s4,Tekcham Abhishek Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504011,680,4,2,86,56,8uacz8yrceknwsreon4rb5i8o,1,28,85.4,5544317807,233,915,5544317803,265,,5544317799,56,Back,5544317805,285,,5544317797,13,,5544317801,152,,,,,,,,8js8a2yz6jly94vf0ilyg76s4,Tekcham Abhishek Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
2781504003,915,4,2,86,56,9eqjks8amwm1ycytsoi7xld25,0,72,14.6,5544317745,265,,5544317741,56,Right,5544317739,13,,5544317823,233,680,5544317747,286,,5544317743,152,,,,,,,,8aa6rgjs6vqeqnt8f5dsu9l2h,Seriton Fernandes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2781504081,681,1,2,87,19,8uacz8yrceknwsreon4rb5i8o,0,22.9,80.6,5544318215,212,37.3,5544318211,140,51.5,5544318205,157,,5544318207,152,,5544318219,1,,5544318203,5,,5544318217,213,5.65,5544318213,141,48.1,ciydd242v6efvzsqd2hxqvwus,Pramveer,,5544318209,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,Punjab FC,
