id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/11/value,qualifier/10/value,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/12/value,qualifier/14/value,qualifier/17/id,qualifier/17/qualifierId,assist,qualifier/17/value,teamName,Position
2793675227,6,1,1,0,11,ajwqetklk0m22x7ifsjax5yi,1,37.3,29.1,2025-03-30T14:00:40.554Z,2025-03-30T14:00:42Z,5610899307,141,21,5610899305,140,39.3,5610899303,56,Back,5610899309,212,5.9,5610899311,213,5.08,,,,,,,,,,2z2u1jd91uyccw2pn5qoiti0a,Mobashir Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793675251,7,1,1,0,13,ajwqetklk0m22x7ifsjax5yi,1,39.4,21,2025-03-30T14:00:42.154Z,2025-03-30T14:00:43Z,5610899439,212,4,5610899437,141,26.7,5610899441,213,1.78,5610899435,140,38.6,5610899433,56,Back,,,,,,,,,,1ilh1vogo8mggj0vhf2oknswk,Nikhil Barla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793675257,8,61,1,0,13,ajwqetklk0m22x7ifsjax5yi,0,38.6,26.8,2025-03-30T14:00:42.561Z,2025-03-30T14:01:29Z,5610899457,56,Back,,,,,,,,,,,,,,,,,,,,,,2z2u1jd91uyccw2pn5qoiti0a,Mobashir Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793675279,6,1,1,0,14,7xo09xnh3y03lyai6azr77fo0,1,65.1,66.7,2025-03-30T14:00:43.512Z,2025-03-30T14:00:45Z,5610899553,140,57.5,5610899555,141,61.1,5610899557,212,8.8,5610899559,213,3.59,5610899551,56,Center,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675283,7,49,1,0,15,7xo09xnh3y03lyai6azr77fo0,1,57.8,60.3,2025-03-30T14:00:44.808Z,2025-03-30T14:00:45Z,,,,,,,,,,,,,,,,,,,,,,,,,cmipqs8kvp9fztc1ekgzlwogl,Mohammed Bemammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675291,8,1,1,0,16,7xo09xnh3y03lyai6azr77fo0,1,58.6,59.9,2025-03-30T14:00:45Z,2025-03-30T14:00:46Z,5610899593,141,47.5,5610899595,212,14.7,5610899597,213,5.67,5610899589,56,Center,5610899591,140,70.1,,,,,,,,,,cmipqs8kvp9fztc1ekgzlwogl,Mohammed Bemammer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675333,9,1,1,0,17,7xo09xnh3y03lyai6azr77fo0,1,70.1,47.5,2025-03-30T14:00:46.248Z,2025-03-30T14:00:48Z,5610899833,212,10.6,5610899835,213,1.56,5610899831,141,63.1,5610899827,56,Center,5610899829,140,70.2,,,,,,,,,,xm1pai2cllklkwkgpb7n5mmt,Néstor Albiach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675337,9,45,1,0,19,ajwqetklk0m22x7ifsjax5yi,0,33.8,37.8,2025-03-30T14:00:48.664Z,2025-03-30T14:00:50Z,5610899847,56,Back,5610899849,285,,5610899965,233,10,,,,,,,,,,,,,,,,2z2u1jd91uyccw2pn5qoiti0a,Mobashir Rahman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Jamshedpur FC,
2793675343,10,3,1,0,19,7xo09xnh3y03lyai6azr77fo0,1,65,62.3,2025-03-30T14:00:48.664Z,2025-03-30T14:00:50Z,5610899887,56,Center,5610899889,286,,5610899951,233,9,,,,,,,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2793675371,11,1,1,0,20,7xo09xnh3y03lyai6azr77fo0,0,68.5,58.5,2025-03-30T14:00:49.335Z,2025-03-30T14:00:51Z,5610900065,155,,5610900069,56,Center,5610900081,212,24.1,5610900077,141,34.6,5610900073,140,85.5,5610900083,213,5.54,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
