id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,keyPass,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/10/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/13/value,qualifier/15/value,assist,teamName,Position
2779310281,483,43,2,54,56,9eqjks8amwm1ycytsoi7xld25,1,0,0,5532362121,144,49,,,,,,,,,,,,,,,,,,,,,,5hligrqwpc6qzxiyg4rfeay1h,Carl McHugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779310445,484,1,2,54,57,9eqjks8amwm1ycytsoi7xld25,1,48.7,49.4,5532343241,141,12,5532343245,212,26.3,5532343249,213,4.46,5532343233,56,Back,5532343237,140,42.5,,,,,,,,,,5hligrqwpc6qzxiyg4rfeay1h,Carl McHugh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779310327,459,1,2,54,57,5yvw8xpbzap5lhlze04odtgk4,0,13,38.5,5532342565,212,44.6,5532342577,1,,5532342555,56,Center,5532342571,213,0.29,5532342561,141,57.2,5532342557,140,53.7,5532342551,157,,,,,ezqz8zz3azusaew3tmf7f96mt,K. Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,Goalkeeper
2779310537,485,1,2,55,0,9eqjks8amwm1ycytsoi7xld25,1,41.4,12.3,5532343651,56,Right,5532343657,140,57.4,5532343667,213,5.97,5532343663,141,4.4,5532343665,212,17.6,,,,,,,,,,dl5tnk2o8rwiacgbsnldojsdm,Boris Singh Thangjam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779310629,486,1,2,55,2,9eqjks8amwm1ycytsoi7xld25,1,56.5,6.4,5532344215,212,15.6,5532344211,140,44.8,5532344213,141,20.6,5532344209,56,Back,5532344217,213,2.48,,,,,,,,,,d5adi48nrkr3n0dqoitcdzu95,Kumam Udanta Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779310667,487,1,2,55,4,9eqjks8amwm1ycytsoi7xld25,0,44.3,21.6,5532344475,141,20.1,5532345345,233,461,5532344473,140,44.6,5532344471,56,Back,5532344479,213,5.01,5532344477,212,1.1,5532345343,236,,5532345349,286,,9d8lhd93zoyekfcypi15zt7je,Ayush Dev Chhetri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,FC Goa,
2779310813,461,74,2,55,4,5yvw8xpbzap5lhlze04odtgk4,1,73.9,81.2,5532345415,233,487,5532345217,56,Left,5532345219,285,,,,,,,,,,,,,,,,,dy0x2kt0h4e6fahxns2k5t2c4,Amawia (Lalthanmawia Renthlei),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779311003,462,49,2,55,12,5yvw8xpbzap5lhlze04odtgk4,1,72.2,75.7,,,,,,,,,,,,,,,,,,,,,,,,,23m69s7nd9vnc9u9ra2aspn11,Adrian Luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779311121,463,1,2,55,13,5yvw8xpbzap5lhlze04odtgk4,1,72.1,75.6,5532346761,56,Left,5532346763,140,77.4,5532346765,141,82.6,5532346767,212,7.3,5532346769,213,0.71,,,,,,,,,,23m69s7nd9vnc9u9ra2aspn11,Adrian Luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779311343,464,1,2,55,15,5yvw8xpbzap5lhlze04odtgk4,1,66.4,74.7,5532347821,212,10.4,5532347823,213,1.07,5532347817,140,71.1,5532347819,141,88.1,5532347815,56,Left,,,,,,,,,,ap6n4q8c3c5cj9ilb8bxcy9sk,Vibin Mohanan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779311359,465,61,2,55,21,5yvw8xpbzap5lhlze04odtgk4,1,70.7,90.6,5532348517,238,,5532347899,56,Left,,,,,,,,,,,,,,,,,,,23m69s7nd9vnc9u9ra2aspn11,Adrian Luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779311395,466,5,2,55,22,5yvw8xpbzap5lhlze04odtgk4,0,70.7,101.3,5532348155,56,Left,5532348161,347,,,,,,,,,,,,,,,,,,,,23m69s7nd9vnc9u9ra2aspn11,Adrian Luna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
2779312137,467,27,2,55,34,5yvw8xpbzap5lhlze04odtgk4,1,0,0,5532352009,41,Injury,5532352207,233,488,5532352011,53,dy0x2kt0h4e6fahxns2k5t2c4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kerala Blasters FC,
