id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,keyPass,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/11/value,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/9/value,assist,qualifier/8/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/10/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,teamName,Position
2783637299,677,1,2,88,5,1kqb5u8em0tj1k40607w2vtl4,1,18.3,24,5555886089,56,Back,5555886093,141,11.4,5555886091,140,25.5,5555886095,212,11.4,5555886097,213,5.44,,,,,,,,,,dkk86y8pa3svtz43c0m55qn6x,Connor Shields,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783637303,678,1,2,88,7,1kqb5u8em0tj1k40607w2vtl4,0,26.6,9.7,5555886109,56,Back,5555886117,213,2.75,5555886113,141,11.4,5555886111,140,23.9,5555886115,212,3.1,,,,,,,,,,e5pgescmpgtyk96b07mpicsq2,Jiteshwor Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennaiyin FC,
2783637305,567,49,2,88,8,7xo09xnh3y03lyai6azr77fo0,1,74.1,87.8,,,,,,,,,,,,,,,,,,,,,,,,,xm1pai2cllklkwkgpb7n5mmt,Néstor Albiach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637307,568,1,2,88,8,7xo09xnh3y03lyai6azr77fo0,1,74.1,87.8,5555886137,140,75.6,5555886139,141,74.4,5555886143,213,4.88,5555886135,56,Center,5555886141,212,9.2,,,,,,,,,,xm1pai2cllklkwkgpb7n5mmt,Néstor Albiach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637313,569,1,2,88,11,7xo09xnh3y03lyai6azr77fo0,1,75.6,75.6,5555886183,212,10.1,5555886181,141,90,5555886177,56,Left,5555886185,213,1.34,5555886179,140,77.8,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637315,570,1,2,88,13,7xo09xnh3y03lyai6azr77fo0,1,77.8,90,5555886197,141,81.7,5555886199,212,6.9,5555886195,140,74,5555886201,213,4.1,5555886193,56,Left,,,,,,,,,,xm1pai2cllklkwkgpb7n5mmt,Néstor Albiach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637321,571,1,2,88,13,7xo09xnh3y03lyai6azr77fo0,1,72,78.4,5555886231,140,58.5,5555886235,212,14.8,5555886237,213,3.42,5555886233,141,72.4,5555886229,56,Center,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637325,572,1,2,88,14,7xo09xnh3y03lyai6azr77fo0,1,58.4,72.4,5555886255,212,10.9,5555886251,140,66.2,5555886257,213,0.72,5555886249,56,Left,5555886253,141,83,,,,,,,,,,6vak9npg73k6di2oagxg8ttgq,Mayakkannan Muthu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637335,573,1,2,88,14,7xo09xnh3y03lyai6azr77fo0,1,66.2,83.3,5555886331,212,13.8,5555886327,140,53.3,5555886333,213,2.97,5555886325,56,Left,5555886329,141,86.8,,,,,,,,,,dq03xoo08fyces9h371x0ce1g,Macarton Nickson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
2783637347,574,1,2,88,16,7xo09xnh3y03lyai6azr77fo0,1,52.3,86,5555886409,140,59.4,5555886415,213,5.22,5555886407,56,Center,5555886411,141,66.4,5555886413,212,15.3,,,,,,,,,,awmnvgz0piarvn8o7b7zk57f9,Míchel Zabaco,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Northeast United FC,
