id,eventId,typeId,periodId,timeMin,timeSec,outcome,x,y,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,playerId,playerName,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,keyPass,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/9/value,qualifier/11/value,qualifier/15/value,assist
2772723307,114,4,1,11,42,0,31.4,54.3,5496331519,152,,5496331517,56,Back,5496331591,233,148,5496331515,13,,5496331521,265,,5496331523,285,,,,,,,,3hyx5x335jn5udim2a132nt2h,Vinit Rai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723509,150,15,1,12,34,1,70.7,46.9,5496332659,26,,5496332827,82,,5496332823,20,,5496333437,233,116,5496333261,147,47.5,5496333251,78,,5496332663,56,Center,5496333257,458,,4sqnd13g7n9e4orv6hcp27fxm,Liston Colaco,5496333259,146,79,,5496333255,103,5496333265,231,49.3,5496333253,102,5496333263,230,98.8,5496332661,18,,,,,,,,,,19,48.9,,
2772723525,116,10,1,12,34,1,21,52.5,5496332765,56,Back,5496374401,239,,5496333443,233,150,5496332763,94,,,,,,,,,,,,,,5ku3ut12bd65rq9qoobyv2jh0,Melroy Assisi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723531,117,27,1,12,40,1,0,0,5496332841,41,Injury,5496332843,53,5ku3ut12bd65rq9qoobyv2jh0,5496332845,233,151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723533,151,27,1,12,40,1,0,0,5496332785,233,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723601,118,28,1,13,2,1,0,0,5496333303,233,152,5496333205,55,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723613,152,28,1,13,2,1,0,0,5496333289,55,151,5496333293,233,118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723623,119,68,1,13,8,0,34.5,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723633,153,68,1,13,9,1,65.5,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2772723647,154,1,1,13,12,1,64.6,89,5496333461,56,Back,5496333463,140,44.5,5496333465,141,71.2,5496333467,212,24.3,5496333469,213,3.66,,,,,,,,,,825wa3surm6iii587l4ekx7mx,Subhasish Bose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
